,1N-Z,n,z,A,EL,O,mass_excess,mass_unc,binding_energy,bind_ener_unc,beta_mode,beta_ener,beta_unc,atomic_mass,atom_mass_unc,symbol,a,radius_val,radius_unc,radius_preliminary_val,radius_preliminary_unc,parity_encoder,isospin_asymmetry
983,3,42,39,81,Y,x,-65712.919,5.405,8.5059031,0.0667,B-,-8188.5003,92.3762,929454.283,5.802,,,,,,,Even-Odd,
984,4,43,39,82,Y,x,-68064.097,5.499,8.5292762,0.0671,B-,-4450.0341,5.7221,926930.189,5.902,,,,,,,Odd-Odd,
985,5,44,39,83,Y,x,-72205.672,18.631,8.5736571,0.2245,B-,-6294.0125,19.7074,922484.026,20.0,,,,,,,Even-Odd,
986,6,45,39,84,Y,,-73894.439,4.299,8.5877812,0.0512,B-,-2472.7471,6.9767,920671.06,4.615,,,,,,,Odd-Odd,
987,7,46,39,85,Y,x,-77842.131,18.965,8.628148600000001,0.2231,B-,-4666.9352,20.0257,916433.039,20.36,,,,,,,Even-Odd,
988,8,47,39,86,Y,-,-79283.1,14.142,8.6384293,0.1644,B-,-1314.0763,14.5847,914886.095,15.182,Y,86.0,4.2513,0.0023,,,Odd-Odd,0.09302325581395354
989,9,48,39,87,Y,-,-83018.387,1.128,8.6748451,0.013,B-,-3671.2405,4.2962,910876.1,1.21,Y,87.0,4.2498,0.0022,,,Even-Odd,0.10344827586206895
990,10,49,39,88,Y,-,-84299.029,1.5,8.6825396,0.017,B-,-670.1549,5.6076,909501.274,1.61,Y,88.0,4.2441,0.0021,,,Odd-Odd,0.11363636363636365
991,11,50,39,89,Y,,-87711.202,0.339,8.714011000000001,0.0038,B-,-2833.2285,2.7652,905838.156,0.363,Y,89.0,4.243,0.0021,,,Even-Odd,0.1235955056179775
992,12,51,39,90,Y,,-86496.912,0.354,8.6933778,0.0039,B-,2275.635,0.3726,907141.749,0.379,Y,90.0,4.2573,0.0026,,,Odd-Odd,0.1333333333333333
993,13,52,39,91,Y,,-86351.321,1.843,8.6849421,0.0203,B-,1544.271,1.8403,907298.048,1.978,,,,,,,Even-Odd,
994,14,53,39,92,Y,,-84816.494,9.127,8.6615894,0.0992,B-,3642.5294,9.1271,908945.752,9.798,Y,92.0,4.2887,0.005,,,Odd-Odd,0.15217391304347827
995,15,54,39,93,Y,,-84227.155,10.488,8.6489054,0.1128,B-,2894.8723,10.483,909578.434,11.259,Y,93.0,4.3052,0.0065,,,Even-Odd,0.16129032258064513
996,16,55,39,94,Y,,-82351.473,6.38,8.622806800000001,0.0679,B-,4917.8589,6.3799,911592.062,6.849,Y,94.0,4.3142,0.0074,,,Odd-Odd,0.17021276595744683
997,17,56,39,95,Y,,-81207.937,6.779,8.6049644,0.0714,B-,4452.0031,6.7718,912819.697,7.277,Y,95.0,4.3284,0.0087,,,Even-Odd,0.17894736842105263
998,18,57,39,96,Y,,-78329.986,6.075,8.5694269,0.0633,B-,7108.8741,6.074,915909.305,6.521,Y,96.0,4.3402,0.0099,,,Odd-Odd,0.1875
999,19,58,39,97,Y,+,-76115.455,6.708,8.5414616,0.0692,B-,6821.2382,6.7068,918286.702,7.201,Y,97.0,4.358,0.0116,,,Even-Odd,0.19587628865979378
1000,20,59,39,98,Y,p-2n,-72288.748,7.919,8.4976162,0.0808,B-,8993.0098,11.5755,922394.841,8.501,Y,98.0,4.3711,0.0129,,,Odd-Odd,0.20408163265306123
1001,21,60,39,99,Y,x,-70643.73,6.615,8.4766938,0.0668,B-,6972.9398,12.4082,924160.839,7.101,Y,99.0,4.4658,0.0223,,,Even-Odd,0.21212121212121215
1002,22,61,39,100,Y,x,-67321.241,11.179,8.4394151,0.1118,B-,9051.4949,13.8293,927727.678,12.0,Y,100.0,4.4705,0.0228,,,Odd-Odd,0.21999999999999997
1003,23,62,39,101,Y,x,-65054.787,7.08,8.4133305,0.0701,B-,8106.2003,10.9331,930160.817,7.601,Y,101.0,4.4863,0.0244,,,Even-Odd,0.2277227722772277
1004,24,63,39,102,Y,x,-61172.641,4.081,8.3719172,0.04,B-,10408.7856,9.6618,934328.471,4.381,Y,102.0,4.4911,0.0249,,,Odd-Odd,0.23529411764705888
1005,25,64,39,103,Y,x,-58457.034,11.206,8.3426336,0.1088,B-,9351.96,14.513,937243.796,12.029,,,,,,,Even-Odd,
1006,26,65,39,104,Y,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1007,27,66,39,105,Y,x,,,,,B-,,,,,,,,,,,Even-Odd,
1008,28,67,39,106,Y,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1009,29,68,39,107,Y,x,,,,,B-,,,,,,,,,,,Even-Odd,
1010,30,69,39,108,Y,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1011,31,70,39,109,Y,x,,,,,B-,,,,,,,,,,,Even-Odd,
1012,-3,37,40,77,Zr,x,,,,,B-,,,,,,,,,,,Even-Odd,
1013,-2,38,40,78,Zr,x,,,,,B-,,,,,,,,,,,Even-Even,
1014,-1,39,40,79,Zr,x,,,,,B-,,,,,,,,,,,Even-Odd,
1015,0,40,40,80,Zr,x,,,,,B-,,,,,,,,,,,Even-Even,
1016,1,41,40,81,Zr,x,-57524.418,92.218,8.3951519,1.1385,B-,,,938245.0,99.0,,,,,,,Even-Odd,
1017,2,42,40,82,Zr,x,-63614.063,1.584,8.4654666,0.0193,B-,,,931707.497,1.7,,,,,,,Even-Even,
1018,3,43,40,83,Zr,x,-65911.659,6.43,8.4883997,0.0775,B-,-8298.7493,162.2075,929240.926,6.902,,,,,,,Even-Odd,
1019,4,44,40,84,Zr,x,-71421.692,5.499,8.5490301,0.0655,B-,-10227.8497,5.5133,923325.663,5.903,,,,,,,Even-Even,
1020,5,45,40,85,Zr,x,-73175.196,6.43,8.5640394,0.0756,B-,-6895.512,7.625,921443.199,6.902,,,,,,,Even-Odd,
1021,6,46,40,86,Zr,,-77969.023,3.566,8.614052299999999,0.0415,B-,-8834.9627,6.5521,916296.814,3.827,,,,,,,Even-Even,
1022,7,47,40,87,Zr,,-79347.147,4.146,8.6236545,0.0477,B-,-5472.6536,7.9633,914817.338,4.45,Zr,87.0,4.2789,0.003,,,Even-Odd,0.08045977011494254
1023,8,48,40,88,Zr,,-83628.874,5.403,8.6660339,0.0614,B-,-7457.3187,57.8921,910220.715,5.8,Zr,88.0,4.2787,0.0025,,,Even-Even,0.09090909090909094
1024,9,49,40,89,Zr,,-84877.974,2.78,8.673386500000001,0.0312,B-,-4252.2191,23.7199,908879.751,2.983,Zr,89.0,4.2706,0.001,,,Even-Odd,0.101123595505618
1025,10,50,40,90,Zr,,-88772.547,0.118,8.7099699,0.0013,B-,-6111.0165,3.3163,904698.755,0.126,Zr,90.0,4.2694,0.001,,,Even-Even,0.11111111111111116
1026,11,51,40,91,Zr,,-87895.592,0.095,8.693314899999999,0.0011,B-,-1257.5644,2.9243,905640.205,0.101,Zr,91.0,4.2845,0.0013,,,Even-Odd,0.1208791208791209
1027,12,52,40,92,Zr,,-88459.024,0.094,8.692678299999999,0.0011,B-,-2005.7335,1.7823,905035.336,0.101,Zr,92.0,4.3057,0.0013,,,Even-Even,0.13043478260869568
1028,13,53,40,93,Zr,,-87122.028,0.456,8.6716207,0.0049,B-,90.8123,1.4838,906470.661,0.489,,,,,,,Even-Odd,
1029,14,54,40,94,Zr,,-87269.332,0.164,8.666801600000001,0.0018,B-,-900.2684,1.5,906312.523,0.175,Zr,94.0,4.332,0.0013,,,Even-Even,0.14893617021276595
1030,15,55,40,95,Zr,,-85659.94,0.869,8.6435924,0.0092,B-,1126.3312,0.9854,908040.276,0.933,,,,,,,Even-Odd,
1031,16,56,40,96,Zr,,-85438.86,0.114,8.6353283,0.0012,B-,163.9704,0.1,908277.615,0.122,Zr,96.0,4.3512,0.0015,,,Even-Even,0.16666666666666663
1032,17,57,40,97,Zr,,-82936.693,0.121,8.6037182,0.0013,B-,2666.1038,4.2435,910963.802,0.13,Zr,97.0,4.3792,0.0136,,,Even-Odd,0.17525773195876293
1033,18,58,40,98,Zr,,-81281.757,8.445,8.5813984,0.0862,B-,2242.8547,9.8134,912740.448,9.065,Zr,98.0,4.4012,0.0164,,,Even-Even,0.18367346938775508
1034,19,59,40,99,Zr,,-77616.67,10.499,8.539225,0.1061,B-,4718.6736,15.9474,916675.081,11.271,Zr,99.0,4.4156,0.0181,,,Even-Odd,0.19191919191919193
1035,20,60,40,100,Zr,,-76372.736,8.143,8.522106599999999,0.0814,B-,3418.5098,11.3976,918010.499,8.742,Zr,100.0,4.4891,0.0289,,,Even-Even,0.19999999999999996
1036,21,61,40,101,Zr,,-73160.987,8.332,8.485843899999999,0.0825,B-,5730.5011,9.1366,921458.454,8.944,Zr,101.0,4.5119,0.0318,,,Even-Odd,0.20792079207920788
1037,22,62,40,102,Zr,,-71581.427,8.758,8.466294,0.0859,B-,4716.838,9.053,923154.181,9.401,Zr,102.0,4.5292,0.034,,,Even-Even,0.21568627450980393
1038,23,63,40,103,Zr,x,-67808.993,9.223,8.4258337,0.0895,B-,7219.674,10.027,927204.054,9.9,,,,,,,Even-Odd,
1039,24,64,40,104,Zr,x,-65717.66,9.316,8.4023159,0.0896,B-,6093.3367,9.4851,929449.193,10.0,,,,,,,Even-Even,
1040,25,65,40,105,Zr,x,-61458.274,12.11,8.358598,0.1153,B-,8457.2728,12.7625,934021.832,13.0,,,,,,,Even-Odd,
1041,26,66,40,106,Zr,x,,,,,B-,,,,,,,,,,,Even-Even,
1042,27,67,40,107,Zr,x,,,,,B-,,,,,,,,,,,Even-Odd,
1043,28,68,40,108,Zr,x,,,,,B-,,,,,,,,,,,Even-Even,
1044,29,69,40,109,Zr,x,,,,,B-,,,,,,,,,,,Even-Odd,
1045,30,70,40,110,Zr,x,,,,,B-,,,,,,,,,,,Even-Even,
1046,31,71,40,111,Zr,x,,,,,B-,,,,,,,,,,,Even-Odd,
1047,32,72,40,112,Zr,x,,,,,B-,,,,,,,,,,,Even-Even,
1048,33,73,40,113,Zr,x,,,,,B-,,,,,,,,,,,Even-Odd,
1049,-3,38,41,79,Nb,x,,,,,B-,,,,,,,,,,,Even-Odd,
1050,-2,39,41,80,Nb,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1051,-1,40,41,81,Nb,x,,,,,B-,,,,,,,,,,,Even-Odd,
1052,0,41,41,82,Nb,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1053,1,42,41,83,Nb,x,-57612.91,162.08,8.3789889,1.9528,B-,,,938150.0,174.0,,,,,,,Even-Odd,
1054,2,43,41,84,Nb,x,-61193.842,0.401,8.4179563,0.0048,B-,,,934305.711,0.43,,,,,,,Odd-Odd,
1055,3,44,41,85,Nb,x,-66279.684,4.099,8.473711699999999,0.0482,B-,-8769.9238,16.3572,928845.836,4.4,,,,,,,Even-Odd,
1056,4,45,41,86,Nb,x,-69134.061,5.499,8.502223099999998,0.0639,B-,-5023.1337,6.2316,925781.536,5.903,,,,,,,Odd-Odd,
1057,5,46,41,87,Nb,x,-73874.493,6.802,8.5517579,0.0782,B-,-6989.6757,7.3781,920692.473,7.302,,,,,,,Even-Odd,
1058,6,47,41,88,Nb,,-76171.555,57.808,8.5724013,0.6569,B-,-3485.0021,57.9345,918226.476,62.059,,,,,,,Odd-Odd,
1059,7,48,41,89,Nb,,-80625.755,23.63,8.6168184,0.2655,B-,-5610.8105,23.9513,913444.696,25.367,,,,,,,Even-Odd,
1060,8,49,41,90,Nb,,-82661.531,3.317,8.633377000000001,0.0369,B-,-2489.0165,3.3163,911259.201,3.561,Nb,90.0,4.2891,0.004,,,Odd-Odd,0.0888888888888889
1061,9,50,41,91,Nb,,-86638.028,2.926,8.670898300000001,0.0322,B-,-4429.1934,6.7439,906990.256,3.14,Nb,91.0,4.2878,0.004,,,Even-Odd,0.09890109890109888
1062,10,51,41,92,Nb,,-86453.29,1.784,8.6623731,0.0194,B-,355.2968,1.7911,907188.58,1.915,Nb,92.0,4.3026,0.0043,,,Odd-Odd,0.10869565217391308
1063,11,52,41,93,Nb,,-87212.84,1.49,8.6641849,0.016,B-,-405.7609,1.5012,906373.17,1.599,Nb,93.0,4.324,0.0017,,,Even-Odd,0.11827956989247312
1064,12,53,41,94,Nb,,-86369.063,1.491,8.648901400000002,0.0159,B-,2045.0163,1.4937,907279.001,1.6,,,,,,,Odd-Odd,
1065,13,54,41,95,Nb,,-86786.272,0.508,8.647213299999999,0.0054,B-,925.6009,0.4938,906831.11,0.545,,,,,,,Even-Odd,
1066,14,55,41,96,Nb,,-85602.83,0.147,8.6288868,0.0015,B-,3192.059,0.107,908101.586,0.157,,,,,,,Odd-Odd,
1067,15,56,41,97,Nb,,-85602.797,4.244,8.6231384,0.0438,B-,1941.9038,4.2435,908101.622,4.556,,,,,,,Even-Odd,
1068,16,57,41,98,Nb,-pn,-83524.612,5.001,8.5963016,0.051,B-,4591.3681,5.0032,910332.645,5.369,,,,,,,Odd-Odd,
1069,17,58,41,99,Nb,+p,-82335.344,12.004,8.5789859,0.1213,B-,3634.7623,12.0059,911609.377,12.886,Nb,99.0,4.4062,0.0125,,,Even-Odd,0.1717171717171717
1070,18,59,41,100,Nb,IT,-79791.246,7.976,8.5484683,0.0798,B-,6401.7829,7.9817,914340.578,8.562,,,,,,,Odd-Odd,
1071,19,60,41,101,Nb,x,-78891.488,3.749,8.5348355,0.0371,B-,4628.4637,3.7378,915306.508,4.024,Nb,101.0,4.4861,0.0203,,,Even-Odd,0.18811881188118806
1072,20,61,41,102,Nb,,-76298.265,2.511,8.5048675,0.0246,B-,7262.6008,8.675,918090.447,2.695,,,,,,,Odd-Odd,
1073,21,62,41,103,Nb,x,-75028.667,3.935,8.488332,0.0382,B-,5925.6639,10.027,919453.416,4.224,Nb,103.0,4.5097,0.0227,,,Even-Odd,0.2038834951456311
1074,22,63,41,104,Nb,x,-71810.997,1.784,8.453383200000001,0.0172,B-,8532.7512,9.0879,922907.728,1.915,,,,,,,Odd-Odd,
1075,23,64,41,105,Nb,x,-69915.547,4.028,8.431692499999999,0.0384,B-,7415.2411,9.9106,924942.577,4.324,,,,,,,Even-Odd,
1076,24,65,41,106,Nb,,-66202.678,1.416,8.3932657,0.0134,B-,9925.3249,9.2388,928928.505,1.52,,,,,,,Odd-Odd,
1077,25,66,41,107,Nb,x,-63723.805,8.023,8.3670898,0.075,B-,8821.1703,12.2239,931589.685,8.612,,,,,,,Even-Odd,
1078,26,67,41,108,Nb,x,-59545.198,8.239,8.3256604,0.0763,B-,11204.0998,12.3668,936075.604,8.844,,,,,,,Odd-Odd,
1079,27,68,41,109,Nb,x,-56689.8,430.816,8.2971307,3.9524,B-,9969.4851,430.961,939141.0,462.5,,,,,,,Even-Odd,
1080,28,69,41,110,Nb,x,-52309.914,838.345,8.255260700000001,7.6213,B-,12225.9002,838.6945,943843.0,900.0,,,,,,,Odd-Odd,
1081,29,70,41,111,Nb,x,,,,,B-,,,,,,,,,,,Even-Odd,
1082,30,71,41,112,Nb,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1083,31,72,41,113,Nb,x,,,,,B-,,,,,,,,,,,Even-Odd,
1084,32,73,41,114,Nb,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1085,33,74,41,115,Nb,x,,,,,B-,,,,,,,,,,,Even-Odd,
1086,34,75,41,116,Nb,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1087,-3,39,42,81,Mo,x,,,,,B-,,,,,,,,,,,Even-Odd,
1088,-2,40,42,82,Mo,x,,,,,B-,,,,,,,,,,,Even-Even,
1089,-1,41,42,83,Mo,x,,,,,B-,,,,,,,,,,,Even-Odd,
1090,0,42,42,84,Mo,x,,,,,B-,,,,,,,,,,,Even-Even,
1091,1,43,42,85,Mo,x,-57509.76,15.835,8.361332,0.1863,B-,,,938260.736,17.0,,,,,,,Even-Odd,
1092,2,44,42,86,Mo,x,-64110.927,2.932,8.434717500000001,0.0341,B-,,,931174.092,3.147,,,,,,,Even-Even,
1093,3,45,42,87,Mo,,-66884.817,2.857,8.4624243,0.0328,B-,-9194.7656,5.0729,928196.198,3.067,,,,,,,Even-Odd,
1094,4,46,42,88,Mo,x,-72686.553,3.819,8.5239087,0.0434,B-,-11016.2515,5.6021,921967.779,4.1,,,,,,,Even-Even,
1095,5,47,42,89,Mo,x,-75014.944,3.912,8.5449851,0.044,B-,-7620.0875,5.4673,919468.149,4.2,,,,,,,Even-Odd,
1096,6,48,42,90,Mo,,-80172.514,3.463,8.5970285,0.0385,B-,-9447.8181,3.611,913931.27,3.717,Mo,90.0,4.3265,0.0016,,,Even-Even,0.06666666666666665
1097,7,49,42,91,Mo,,-82208.834,6.238,8.6136286,0.0686,B-,-6222.1768,6.6706,911745.19,6.696,Mo,91.0,4.3182,0.0012,,,Even-Odd,0.07692307692307687
1098,8,50,42,92,Mo,,-86808.587,0.157,8.6577312,0.0017,B-,-7882.8841,3.1063,906807.153,0.168,Mo,92.0,4.3151,0.0012,,,Even-Even,0.08695652173913049
1099,9,51,42,93,Mo,-n,-86807.079,0.181,8.6514095,0.002,B-,-3200.9629,1.004,906808.772,0.193,,,,,,,Even-Odd,
1100,10,52,42,94,Mo,,-88414.079,0.141,8.6623341,0.0015,B-,-4255.7476,4.0687,905083.586,0.151,Mo,94.0,4.3529,0.0013,,,Even-Even,0.1063829787234043
1101,11,53,42,95,Mo,,-87711.872,0.123,8.6487212,0.0013,B-,-1690.5175,5.0782,905837.436,0.132,Mo,95.0,4.3628,0.0018,,,Even-Odd,0.11578947368421055
1102,12,54,42,96,Mo,,-88794.889,0.12,8.653988,0.0013,B-,-2973.2411,5.145,904674.77,0.128,Mo,96.0,4.3847,0.0015,,,Even-Even,0.125
1103,13,55,42,97,Mo,,-87544.7,0.165,8.6350926,0.0017,B-,-320.264,4.1169,906016.903,0.176,Mo,97.0,4.388,0.0015,,,Even-Odd,0.134020618556701
1104,14,56,42,98,Mo,,-88115.98,0.174,8.635169099999999,0.0018,B-,-1683.7664,3.3768,905403.609,0.186,Mo,98.0,4.4091,0.0018,,,Even-Even,0.1428571428571429
1105,15,57,42,99,Mo,,-85970.106,0.229,8.6077982,0.0023,B-,1357.7631,0.8905,907707.299,0.245,,,,,,,Even-Odd,
1106,16,58,42,100,Mo,,-86193.029,0.301,8.6046626,0.003,B-,-172.0776,1.3704,907467.982,0.322,Mo,100.0,4.4468,0.0025,,,Even-Even,0.16000000000000003
1107,17,59,42,101,Mo,-n,-83519.952,0.308,8.5729159,0.0031,B-,2824.6411,24.0018,910337.648,0.331,,,,,,,Even-Odd,
1108,18,60,42,102,Mo,,-83560.866,8.305,8.5683994,0.0814,B-,1012.0557,12.3682,910293.725,8.916,Mo,102.0,4.4914,0.0038,,,Even-Even,0.17647058823529416
1109,19,61,42,103,Mo,x,-80954.331,9.223,8.5382672,0.0895,B-,3649.5889,13.4648,913091.954,9.9,Mo,103.0,4.5145,0.0046,,,Even-Odd,0.18446601941747576
1110,20,62,42,104,Mo,,-80343.748,8.911,8.5279063,0.0857,B-,2155.2212,24.1665,913747.443,9.566,Mo,104.0,4.5249,0.0051,,,Even-Even,0.1923076923076923
1111,21,63,42,105,Mo,,-77330.788,9.055,8.494862999999999,0.0862,B-,4955.5157,35.0307,916981.989,9.721,Mo,105.0,4.5389,0.0057,,,Even-Odd,0.19999999999999996
1112,22,64,42,106,Mo,x,-76128.003,9.13,8.479520200000001,0.0861,B-,3648.2494,15.2778,918273.231,9.801,Mo,106.0,4.549,0.0058,,,Even-Even,0.2075471698113207
1113,23,65,42,107,Mo,x,-72544.975,9.223,8.442219,0.0862,B-,6204.9921,12.6599,922119.77,9.901,,,,,,,Even-Odd,
1114,24,66,42,108,Mo,x,-70749.297,9.223,8.4221581,0.0854,B-,5173.533,12.7262,924047.508,9.901,Mo,108.0,4.5602,0.0067,,,Even-Even,0.2222222222222222
1115,25,67,42,109,Mo,x,-66659.285,11.179,8.381416300000001,0.1026,B-,7623.5438,14.7805,928438.318,12.0,,,,,,,Even-Odd,
1116,26,68,42,110,Mo,x,-64535.814,24.219,8.359293,0.2202,B-,6498.7491,26.0147,930717.956,26.0,,,,,,,Even-Even,
1117,27,69,42,111,Mo,+,-59939.813,12.578,8.3152932,0.1133,B-,9084.862,6.7999,935651.966,13.503,,,,,,,Even-Odd,
1118,28,70,42,112,Mo,x,,,,,B-,,,,,,,,,,,Even-Even,
1119,29,71,42,113,Mo,x,,,,,B-,,,,,,,,,,,Even-Odd,
1120,30,72,42,114,Mo,x,,,,,B-,,,,,,,,,,,Even-Even,
1121,31,73,42,115,Mo,x,,,,,B-,,,,,,,,,,,Even-Odd,
1122,32,74,42,116,Mo,x,,,,,B-,,,,,,,,,,,Even-Even,
1123,33,75,42,117,Mo,x,,,,,B-,,,,,,,,,,,Even-Odd,
1124,34,76,42,118,Mo,x,,,,,B-,,,,,,,,,,,Even-Even,
1125,35,77,42,119,Mo,x,,,,,B-,,,,,,,,,,,Even-Odd,
1126,-3,40,43,83,Tc,x,,,,,B-,,,,,,,,,,,Even-Odd,
1127,-2,41,43,84,Tc,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1128,-1,42,43,85,Tc,x,,,,,B-,,,,,,,,,,,Even-Odd,
1129,0,43,43,86,Tc,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1130,1,44,43,87,Tc,x,-57690.052,4.192,8.3477449,0.0482,B-,,,938067.185,4.5,,,,,,,Even-Odd,
1131,2,45,43,88,Tc,x,-61670.301,4.099,8.3898338,0.0466,B-,,,933794.211,4.4,,,,,,,Odd-Odd,
1132,3,46,43,89,Tc,x,-67394.857,3.819,8.450575800000001,0.0429,B-,-9025.4327,24.5181,927648.649,4.1,,,,,,,Even-Odd,
1133,4,47,43,90,Tc,x,-70724.696,1.025,8.483360000000001,0.0114,B-,-5840.8951,3.8685,924073.919,1.1,,,,,,,Odd-Odd,
1134,5,48,43,91,Tc,,-75986.657,2.363,8.5366558,0.026,B-,-7746.8246,3.2422,918424.972,2.536,,,,,,,Even-Odd,
1135,6,49,43,92,Tc,,-78925.703,3.102,8.563544,0.0337,B-,-4624.4922,4.1246,915269.777,3.33,,,,,,,Odd-Odd,
1136,7,50,43,93,Tc,-p,-83606.116,1.012,8.6085782,0.0109,B-,-6389.3929,2.2995,910245.147,1.086,,,,,,,Even-Odd,
1137,8,51,43,94,Tc,-,-84158.332,4.071,8.608737300000001,0.0433,B-,-1574.7296,5.1433,909652.319,4.37,,,,,,,Odd-Odd,
1138,9,52,43,95,Tc,,-86021.355,5.08,8.6226911,0.0535,B-,-2563.5961,10.531,907652.281,5.453,,,,,,,Even-Odd,
1139,10,53,43,96,Tc,-,-85821.648,5.146,8.6148673,0.0536,B-,258.7369,5.1464,907866.675,5.524,,,,,,,Odd-Odd,
1140,11,54,43,97,Tc,,-87224.436,4.118,8.6237254,0.0425,B-,-1103.8722,4.9563,906360.72,4.42,,,,,,,Even-Odd,
1141,12,55,43,98,Tc,,-86432.214,3.38,8.6100047,0.0345,B-,1792.6575,7.1568,907211.206,3.628,,,,,,,Odd-Odd,
1142,13,56,43,99,Tc,,-87327.869,0.908,8.6136105,0.0092,B-,297.5156,0.9453,906249.681,0.974,,,,,,,Even-Odd,
1143,14,57,43,100,Tc,-n,-86020.951,1.351,8.595118399999999,0.0135,B-,3206.4401,1.376,907652.715,1.45,,,,,,,Odd-Odd,
1144,15,58,43,101,Tc,+,-86344.593,24.004,8.5931366,0.2377,B-,1613.52,24.0,907305.271,25.768,,,,,,,Even-Odd,
1145,16,59,43,102,Tc,,-84572.921,9.166,8.570651400000001,0.0899,B-,4533.5134,9.1646,909207.239,9.84,,,,,,,Odd-Odd,
1146,17,60,43,103,Tc,+p,-84603.92,9.81,8.5661045,0.0952,B-,2663.2474,9.8086,909173.96,10.531,,,,,,,Even-Odd,
1147,18,61,43,104,Tc,,-82498.969,24.886,8.541107,0.2393,B-,5596.7945,24.937,911433.718,26.716,,,,,,,Odd-Odd,
1148,19,62,43,105,Tc,,-82286.303,35.263,8.5346074,0.3358,B-,3648.2396,35.2787,911662.024,37.856,,,,,,,Even-Odd,
1149,20,63,43,106,Tc,+,-79776.253,12.25,8.506557,0.1156,B-,6547.0,11.0,914356.674,13.15,,,,,,,Odd-Odd,
1150,21,64,43,107,Tc,x,-78749.967,8.673,8.492897899999999,0.0811,B-,5112.5985,11.7243,915458.437,9.31,,,,,,,Even-Odd,
1151,22,65,43,108,Tc,x,-75922.831,8.769,8.4628172,0.0812,B-,7738.5736,11.7903,918493.493,9.413,,,,,,,Odd-Odd,
1152,23,66,43,109,Tc,x,-74282.828,9.669,8.4441796,0.0887,B-,6455.6267,12.6574,920254.107,10.38,,,,,,,Even-Odd,
1153,24,67,43,110,Tc,x,-71034.564,9.497,8.4112603,0.0863,B-,9038.0654,12.5086,923741.263,10.195,,,,,,,Odd-Odd,
1154,25,68,43,111,Tc,x,-69024.675,10.582,8.390090599999999,0.0953,B-,7760.65,13.8477,925898.966,11.359,,,,,,,Even-Odd,
1155,26,69,43,112,Tc,x,-65258.932,5.515,8.3536217,0.0492,B-,10371.9409,11.0602,929941.658,5.92,,,,,,,Odd-Odd,
1156,27,70,43,113,Tc,x,-62811.549,3.353,8.329465200000001,0.0297,B-,9056.2674,38.4285,932569.032,3.6,,,,,,,Even-Odd,
1157,28,71,43,114,Tc,x,-58600.294,433.145,8.290259899999999,3.7995,B-,11620.919,433.1594,937090.0,465.0,,,,,,,Odd-Odd,
1158,29,72,43,115,Tc,x,,,,,B-,,,,,,,,,,,Even-Odd,
1159,30,73,43,116,Tc,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1160,31,74,43,117,Tc,x,,,,,B-,,,,,,,,,,,Even-Odd,
1161,32,75,43,118,Tc,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1162,33,76,43,119,Tc,x,,,,,B-,,,,,,,,,,,Even-Odd,
1163,34,77,43,120,Tc,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1164,35,78,43,121,Tc,x,,,,,B-,,,,,,,,,,,Even-Odd,
1165,36,79,43,122,Tc,x,,,,,B-,,,,,,,,,,,Odd-Odd,
1166,-3,41,44,85,Ru,x,,,,,B-,,,,,,,,,,,Even-Odd,
1167,-2,42,44,86,Ru,x,,,,,B-,,,,,,,,,,,Even-Even,
1168,-1,43,44,87,Ru,x,,,,,B-,,,,,,,,,,,Even-Odd,
1169,0,44,44,88,Ru,x,,,,,B-,,,,,,,,,,,Even-Even,
1170,1,45,44,89,Ru,x,-58369.424,24.219,8.340376000000001,0.2721,B-,,,937337.849,26.0,,,,,,,Even-Odd,
1171,2,46,44,90,Ru,,-64883.801,3.73,8.4097684,0.0414,B-,,,930344.378,4.004,,,,,,,Even-Even,
1172,3,47,44,91,Ru,,-68239.833,2.221,8.4429287,0.0244,B-,,,926741.53,2.384,,,,,,,Even-Odd,
1173,4,48,44,92,Ru,,-74301.211,2.718,8.504774,0.0295,B-,-11302.1155,5.1531,920234.373,2.917,,,,,,,Even-Even,
1174,5,49,44,93,Ru,,-77216.723,2.065,8.5314627,0.0222,B-,-8204.9136,3.3425,917104.442,2.216,,,,,,,Even-Odd,
1175,6,50,44,94,Ru,,-82583.602,3.143,8.583662,0.0334,B-,-9675.9789,4.615,911342.86,3.374,,,,,,,Even-Even,
1176,7,51,44,95,Ru,,-83457.759,9.502,8.587470600000001,0.1,B-,-5117.1423,10.2656,910404.415,10.2,,,,,,,Even-Odd,
1177,8,52,44,96,Ru,,-86080.385,0.17,8.609413,0.0018,B-,-6392.6529,10.0,907588.91,0.182,Ru,96.0,4.3908,0.0047,,,Even-Even,0.08333333333333337
1178,9,53,44,97,Ru,-n,-86120.564,2.763,8.6042799,0.0285,B-,-3523.0,35.3553,907545.776,2.965,,,,,,,Even-Odd,
