,mass_excess,binding_energy,beta_ener,atomic_mass,radius_val,1N-Z,n,z,A,EL,O,mass_unc,bind_ener_unc,beta_mode,beta_unc,atom_mass_unc,symbol,a,radius_unc,radius_preliminary_val,radius_preliminary_unc,parity_encoder,isospin_asymmetry,a^1/3
68,1.419525136805807,-0.4952378141427443,2.374927965308533,0.5521805600119305,,8,20,12,32,Mg,x,3.26,0.1019,B-,7.8787,3.5,Mg,32,,3.1861,0.0131,Even-Even,0.25,3.1748021039363987
69,0.6926449379559986,0.49755639824899783,-2.1643275123192978,0.4533221586885082,-1.7791278527139707,0,16,16,32,S,,0.00131,0.0002,B-,0.5617,0.00141,S,32,0.0018,,,Even-Even,0.0,3.1748021039363987
70,1.3799453941974014,-0.64478902882904,,0.5467975650935631,-1.6742889313481493,-4,14,18,32,Ar,x,1.77,0.0553,B-,,1.9,Ar,32,0.0062,,,Even-Even,-0.125,3.1748021039363987
71,1.172618544857937,-0.31503292283510603,,0.5186003471998052,-1.6779589052582715,-3,15,18,33,Ar,x,0.401,0.0121,B-,,0.43,Ar,33,0.0058,,,Even-Odd,-0.09090909090909083,3.207534329995826
72,0.579625746869894,0.6277156257755119,-0.7424585033706895,0.437951126701575,-1.7502573912876767,2,18,16,34,S,,0.045,0.0013,B-,0.0378,0.047,S,34,0.0021,,,Even-Even,0.05882352941176472,3.239611801277483
73,0.9130539480473212,0.07200384399878425,,0.4832986014896276,-1.651535093105392,-2,16,18,34,Ar,,0.078,0.0023,B-,,0.083,Ar,34,0.004,,,Even-Even,-0.05882352941176472,3.239611801277483
74,0.6061235347851064,0.536659402638742,-0.8363315599021258,0.4415549276435756,-1.651535093105392,1,18,17,35,Cl,,0.035,0.001,B-,0.6794,0.038,Cl,35,0.0191,,,Even-Odd,0.02857142857142858,3.2710663101885897
75,0.7783078580159051,0.258942070182664,-2.004832482320988,0.4649726340750946,-1.6537370774514655,-1,17,18,35,Ar,-,0.68,0.0194,B-,0.8516,0.73,Ar,35,0.0042,,,Even-Odd,-0.02857142857142847,3.2710663101885897
76,0.5584873601298559,0.6160366766691119,0.11776989388396264,0.4350762296475391,-1.733375511301115,4,20,16,36,S,,0.188,0.0052,B-,0.1893,0.201,S,36,0.0024,,,Even-Even,0.11111111111111116,3.3019272488946263
77,0.5709720621517682,0.5361273497812935,-2.1907366519664415,0.4367741950285778,-1.6208296447240376,0,18,18,36,Ar,,0.027,0.0008,B-,0.3259,0.028,Ar,36,0.0023,,,Even-Even,0.0,3.3019272488946263
